document_id,entity,entity_type,source,method,confidence,evidence
166170,Quốc hội,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
166170,Vương Đình Huệ,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Vương Đình Huệ (Chủ tịch Quốc hội)
166170,Tín dụng,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Tín dụng
112025,Chính phủ,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
112025,Nguyễn Xuân Phúc,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Nguyễn Xuân Phúc (Thủ tướng)
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
38128,Đào Minh Tú,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
38128,Phát hành và kho quỹ,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Phát hành và kho quỹ
26750,Quốc hội,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
26750,Nguyễn Phú Trọng,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Nguyễn Phú Trọng (Chủ tịch Quốc hội)
163441,Chính phủ,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
163441,Lê Minh Khái,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Lê Minh Khái (Phó Thủ tướng Chính phủ)
163441,Bảo hiểm,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Bảo hiểm
146468,Chính phủ,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
146468,Nguyễn Xuân Phúc,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Nguyễn Xuân Phúc (Thủ tướng)
146468,Chứng khoán,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Chứng khoán
168220,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
168220,Đào Minh Tú,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
168220,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
133858,Chính phủ,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
