source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
166170,32/2024/QH15,47/2010/QH12,"Sửa đổi, bổ sung","3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, t..."
166170,32/2024/QH15,17/2017/QH14,"Sửa đổi, bổ sung","3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 c..."
166170,32/2024/QH15,42/2017/QH14,Quy định tại,6. Tài sản bảo đảm của khoản nợ xấu là dự án bất động sản đã được thu giữ theo quy định tại Điều 7 của Nghị quyết số 42/2017/QH14 về thí điểm xử lý nợ xấu của các tổ chức tín dụng (sau đây gọi là Nghị quyết số 42/2017/QH14) hoặc đang thực hiện thủ t...
166170,32/2024/QH15,29/2023/QH15,Quy định tại,"...nhượng phải đáp ứng điều kiện quy định tại các điểm a, d, đ, g và h khoản 1 Điều 40 của Luật Kinh doanh bất động sản số 29/2023/QH15 và phải có quyết định giao đất, cho thuê đất của cơ quan nhà nước có thẩm quyền;"
112025,73/2016/NĐ-CP,67/2014/NĐ-CP,Tham chiếu,67/2014/NĐ-CP 1. Đại lý bảo hiểm bán bảo hiểm liên kết đơn vị phải đáp ứng các điều kiện sau:
112025,73/2016/NĐ-CP,67/2014/NĐ-CP,Nghị định,4. Đại lý bán bảo hiểm theo Nghị định 67/2014/NĐ-CP phải đáp ứng các điều kiện sau:
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,Nghị định,2. Nghị định số 45/2007/NĐ-CP
112025,73/2016/NĐ-CP,123/2011/NĐ-CP,Tham chiếu,123/2011/NĐ-CP
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,Tham chiếu,45/2007/NĐ-CP
112025,73/2016/NĐ-CP,68/2014/NĐ-CP,Tham chiếu,68/2014/NĐ-CP
112025,73/2016/NĐ-CP,46/2007/NĐ-CP,Tham chiếu,46/2007/NĐ-CP
38128,37/2014/TT-NHNN,46/2010/QH12,Căn cứ,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ;
38128,37/2014/TT-NHNN,156/2013/NĐ-CP,Căn cứ,Căn cứ Nghị định số 156/2013/NĐ-CP
38128,37/2014/TT-NHNN,40/2012/NĐ-CP,Căn cứ,Căn cứ Nghị định số 40/2012/NĐ-CP
38128,37/2014/TT-NHNN,23/2009/TT-NHNN,Thay thế,"Điều 21. Điều khoản thi hành Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam. Điều 22. Trách nhiệm tổ chức thực..."
26750,67/2011/QH12,51/2001/QH10,Căn cứ,"...n cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Kiểm toán độc lập,"
163441,46/2023/NĐ-CP,47/2020/NĐ-CP,Quy định tại,"...iểm với các cơ sở dữ liệu quốc gia và các cơ sở dữ liệu chuyên ngành khác được thực hiện theo quy định tại Nghị định số 47/2020/NĐ-CP ngày 09 tháng 4 năm 2020 của Chính phủ về quản lý, kết nối và chia sẻ dữ liệu số trong cơ quan nhà nước và pháp luật ch..."
163441,46/2023/NĐ-CP,73/2016/NĐ-CP,Quy định tại,"...c ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn pháp định quy định tại Điều 10 Nghị định số 73/2016/NĐ-CP; từ ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn điều lệ tối thiểu theo quy định tại Điều ..."
163441,46/2023/NĐ-CP,08/2022/QH15,Quy định tại,...ên kết đơn vị phải đảm bảo tuân thủ quy định chung về nguyên tắc đầu tư tại khoản 2 Điều 99 Luật Kinh doanh bảo hiểm số 08/2022/QH15. 2. Hạn mức đầu tư của từng quỹ liên kết đơn vị:
163441,46/2023/NĐ-CP,73/2016/NĐ-CP,"Sửa đổi, bổ sung","4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một..."
163441,46/2023/NĐ-CP,151/2018/NĐ-CP,"Sửa đổi, bổ sung","b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộ..."
163441,46/2023/NĐ-CP,80/2019/NĐ-CP,"Sửa đổi, bổ sung","c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm..."
